NAME,DAY,ACC,n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample
삼성전자,5,0.7312925170068028,1000.0,0.1,7.0,7.0,0.9,0.8
삼성전자,20,0.7679180887372014,1000.0,0.3,5.0,4.0,0.8,0.8
삼성전자,60,0.845360824742268,1000.0,0.3,7.0,3.0,0.9,0.8
삼성전자,120,0.875,1000.0,0.3,1.0,3.0,0.8,0.9
SK하이닉스,5,0.7312925170068028,1000.0,0.3,4.0,4.0,0.9,0.8
SK하이닉스,20,0.7679180887372014,1000.0,0.3,4.0,6.0,0.8,0.8
SK하이닉스,60,0.5120274914089347,1000.0,0.1,6.0,3.0,0.9,0.8
SK하이닉스,120,0.8263888888888888,1000.0,0.3,1.0,5.0,0.8,0.9
LG화학,5,0.7020408163265306,1000.0,0.3,1.0,3.0,0.9,0.9
LG화학,20,0.6721311475409836,1000.0,0.3,7.0,4.0,0.8,0.9
LG화학,60,0.3347107438016529,1000.0,0.3,1.0,7.0,0.9,0.9
LG화학,120,0.9246861924686193,1000.0,0.3,2.0,7.0,0.8,0.8
카카오,5,0.732824427480916,1000.0,0.3,2.0,3.0,0.9,0.9
카카오,20,0.8314176245210728,1000.0,0.3,5.0,3.0,0.9,0.9
카카오,60,0.9111969111969112,1000.0,0.1,2.0,3.0,0.9,0.9
카카오,120,0.83203125,1000.0,0.3,7.0,4.0,0.8,0.9
NAVER,5,0.6460176991150443,1000.0,0.3,7.0,4.0,0.9,0.8
NAVER,20,0.7911111111111111,1000.0,0.1,3.0,3.0,0.9,0.8
NAVER,60,0.6816143497757847,1000.0,0.3,7.0,7.0,0.8,0.9
NAVER,120,0.9272727272727272,1000.0,0.01,1.0,7.0,0.9,0.9
현대차,5,0.7074829931972789,1000.0,0.3,6.0,5.0,0.8,0.9
현대차,20,0.7781569965870307,1000.0,0.01,1.0,3.0,0.8,0.9
현대차,60,0.8831615120274914,1000.0,0.1,2.0,3.0,0.9,0.8
현대차,120,0.7916666666666666,1000.0,0.1,1.0,4.0,0.9,0.9
